Id area perimeter compactness lengthOfKernel widthOfKernel asymmmetryCoefficient lenghOfKernelGroove group 
1 15.26 14.84 0.871 5.763 3.312 2.221 5.22 g1
2 14.88 14.57 0.8811 5.554 3.333 1.018 4.956 g1
3 14.29 14.09 0.905 5.291 3.337 2.699 4.825 g1
4 14.38 14.21 0.8951 5.386 3.312 2.462 4.956 g1
5 14.69 14.49 0.8799 5.563 3.259 3.586 5.219 g1
6 14.11 14.1 0.8911 5.42 3.302 2.7 5.0 g1
7 16.63 15.46 0.8747 6.053 3.465 2.04 5.877 Noise
8 17.63 15.98 0.8673 6.191 3.561 4.076 6.06 g2
9 16.84 15.67 0.8623 5.998 3.484 4.675 5.877 g2
10 17.26 15.73 0.8763 5.978 3.594 4.539 5.791 g2
11 19.11 16.26 0.9081 6.154 3.93 2.936 6.079 Noise
12 16.82 15.51 0.8786 6.017 3.486 4.004 5.841 g2
13 16.77 15.62 0.8638 5.927 3.438 4.92 5.795 g2
14 13.07 13.92 0.848 5.472 2.994 5.304 5.395 g3
15 13.32 13.94 0.8613 5.541 3.073 7.035 5.44 Noise
16 13.34 13.95 0.862 5.389 3.074 5.995 5.307 g3
17 12.22 13.32 0.8652 5.224 2.967 5.469 5.221 g3
18 11.82 13.4 0.8274 5.314 2.777 4.471 5.178 g3
19 11.21 13.13 0.8167 5.279 2.687 6.169 5.275 Noise
20 15.01 14.76 0.8657 5.789 3.245 1.791 5.001 g1
